"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID","tipLabel"
"24",58,19,0.06837894202,50.5962179957041,5.85145961896247,50.6159826362162,5.82211358239193,0.223144863384,0.154765921364,2020.22943526562,2020.29781420764,410000000,"hCoV-19/Belgium/ULG-10165/2020|EPI_ISL_447159|2020-04-19|Europe"
"25",59,20,0.03523797814,50.5962661750892,5.85223426762425,50.6717405100194,5.63877558126074,0.1903579781397,0.1551199999997,2020.22978934426,2020.2650273224,410000000,"hCoV-19/Belgium/ULG-10132/2020|EPI_ISL_427377|2020-04-07|Europe"
"26",59,60,0.00462000000000001,50.5962661750892,5.85223426762425,50.5962932092906,5.85206530931748,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,410000000,NA
"29",61,23,0.0003848633878,50.5964920903526,5.85075140645822,50.5967738787782,5.85033239243096,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,410000000,"hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe"
"30",61,22,0.06049415301,50.5964920903526,5.85075140645822,50.5476518544976,5.76067797802347,0.2832541530097,0.2227599999997,2020.29742934426,2020.35792349727,410000000,"hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-05-11|Europe"
"31",62,64,0.01234,50.589633371818,5.85528985011147,50.6492267092925,5.67991418854697,0.12155,0.10921,2020.18387934426,2020.19621934426,410000000,NA
"32",64,66,0.02723322191,50.6492267092925,5.67991418854697,50.4587282406539,6.20374425975399,0.14878322191,0.12155,2020.19621934426,2020.22345256617,410000000,NA
"33",66,67,0.01886677809,50.4587282406539,6.20374425975399,50.7270124645364,6.01727096367423,0.16765,0.14878322191,2020.22345256617,2020.24231934426,410000000,NA
"34",66,77,0.000576778090700003,50.4587282406539,6.20374425975399,50.460460118439,6.20553888493357,0.1493600000007,0.14878322191,2020.22345256617,2020.22402934426,410000000,NA
"36",67,28,0.06642382514,50.7270124645364,6.01727096367423,50.6147686442393,6.07091255499721,0.23407382514,0.16765,2020.24231934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe"
"37",68,69,0.00223999999999999,50.7209821160268,6.01861481618531,50.7206751997889,6.01805901073911,0.17989,0.17765,2020.25231934426,2020.25455934426,410000000,NA
"39",69,70,0.00225,50.7206751997889,6.01805901073911,50.7120378235042,6.00307033982236,0.18214,0.17989,2020.25455934426,2020.25680934426,410000000,NA
"40",70,31,2.12568304900074e-05,50.7120378235042,6.00307033982236,50.7118980962637,6.00291927586791,0.18216125683049,0.18214,2020.25680934426,2020.25683060109,410000000,"hCoV-19/Belgium/ULG-10089/2020|EPI_ISL_424643|2020-04-04|Europe"
"41",70,71,0.00273000000000001,50.7120378235042,6.00307033982236,50.3383600603052,6.28511626425639,0.18487,0.18214,2020.25680934426,2020.25953934426,410000000,NA
"42",71,72,0.0304,50.3383600603052,6.28511626425639,50.7272951531808,6.01231077493889,0.21527,0.18487,2020.25953934426,2020.28993934426,410000000,NA
"43",71,32,2.34972676199929e-05,50.3383600603052,6.28511626425639,50.3383378562588,6.28504364045921,0.18489349726762,0.18487,2020.25953934426,2020.25956284153,410000000,"hCoV-19/Belgium/ULG-10095/2020|EPI_ISL_424651|2020-04-05|Europe"
"44",72,73,0.00237999999999999,50.7272951531808,6.01231077493889,50.7261188753474,6.01280474931754,0.21765,0.21527,2020.28993934426,2020.29231934426,410000000,NA
"45",72,33,0.01880382514,50.7272951531808,6.01231077493889,50.7278763920495,6.01352818407932,0.23407382514,0.21527,2020.28993934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423301/2020|EPI_ISL_462155|2020-04-23|Europe"
"47",73,74,0.0115,50.7261188753474,6.01280474931754,50.7241412728291,6.0176034093165,0.22915,0.21765,2020.29231934426,2020.30381934426,410000000,NA
"48",74,35,0.00492382513699999,50.7241412728291,6.0176034093165,50.3463725591776,6.35416707593142,0.234073825137,0.22915,2020.30381934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423299/2020|EPI_ISL_462153|2020-04-23|Europe"
"49",74,75,0.00247,50.7241412728291,6.0176034093165,50.723386631124,6.01788909748117,0.23162,0.22915,2020.30381934426,2020.30628934426,410000000,NA
"50",75,76,0.00242000000000001,50.723386631124,6.01788909748117,50.724689729069,6.0171445145436,0.23404,0.23162,2020.30628934426,2020.30870934426,410000000,NA
"51",75,36,0.00245382513699999,50.723386631124,6.01788909748117,50.7237444506163,6.01839156479356,0.234073825137,0.23162,2020.30628934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423300/2020|EPI_ISL_462154|2020-04-23|Europe"
"52",76,38,3.38251365699926e-05,50.724689729069,6.0171445145436,50.7185932794275,6.01716850605807,0.23407382513657,0.23404,2020.30870934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423297/2020|EPI_ISL_462151|2020-04-23|Europe"
"53",76,37,3.38251365699926e-05,50.724689729069,6.0171445145436,50.5915899784982,5.97915851157014,0.23407382513657,0.23404,2020.30870934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423303/2020|EPI_ISL_462157|2020-04-23|Europe"
"54",77,39,1.43715847500114e-05,50.460460118439,6.20553888493357,50.4606139283828,6.20556945130673,0.14937437158545,0.1493600000007,2020.22402934426,2020.22404371585,410000000,"hCoV-19/Belgium/ULG-0184/2020|EPI_ISL_447127|2020-03-23|Europe"
"56",78,40,0.02537038251,50.6259656796522,6.03611533023438,50.6184311940222,6.05368759014943,0.2176803825107,0.1923100000007,2020.26697934426,2020.29234972677,410000000,"hCoV-19/Belgium/ULG-10145/2020|EPI_ISL_447137|2020-04-17|Europe"
"57",78,41,0.04176382514,50.6259656796522,6.03611533023438,50.6481674686021,6.02296132472428,0.2340738251407,0.1923100000007,2020.26697934426,2020.3087431694,410000000,"hCoV-19/Belgium/rega-0423302/2020|EPI_ISL_462156|2020-04-23|Europe"
"58",160,161,0.000371101413800007,50.6246304325729,5.60632298823585,50.6246548245851,5.60595319997417,0.0261823681525,0.0258112667387,2020.1733182428,2020.17368934422,410000000,NA
"59",160,163,0.000371101413800007,50.6246304325729,5.60632298823585,50.6246548245851,5.60595319997417,0.0261823681525,0.0258112667387,2020.1733182428,2020.17368934422,410000000,NA
"60",161,104,0.07221229508,50.6246548245851,5.60595319997417,50.6190768006528,5.61621696018822,0.0983946632325,0.0261823681525,2020.17368934422,2020.2459016393,410000000,"hCoV-19/Belgium/ULG-10022/2020|EPI_ISL_421197|2020-03-31|Europe"
"61",163,164,0.005785979926,50.6246548245851,5.60595319997417,50.6247144559649,5.60617789110653,0.0319683480785,0.0261823681525,2020.17368934422,2020.17947532414,410000000,NA
"62",164,107,0.000852544663600019,50.6247144559649,5.60617789110653,50.705630291928,5.63809670632744,0.0328208927421,0.0319683480785,2020.17947532414,2020.18032786881,410000000,"hCoV-19/Belgium/ULG-3662/2020|EPI_ISL_417008|2020-03-07|Europe"
"63",164,165,0.000844020073500013,50.6247144559649,5.60617789110653,50.6233520661723,5.60803245679779,0.032812368152,0.0319683480785,2020.17947532414,2020.18031934422,410000000,NA
"64",165,109,8.52459005198924e-06,50.6233520661723,5.60803245679779,50.6233984682189,5.60817683615944,0.032820892742052,0.032812368152,2020.18031934422,2020.18032786881,410000000,"hCoV-19/Belgium/ULG-3683/2020|EPI_ISL_417011|2020-03-07|Europe"
"65",165,108,8.52459005198924e-06,50.6233520661723,5.60803245679779,50.7073099001404,5.60485369574216,0.032820892742052,0.032812368152,2020.18031934422,2020.18032786881,410000000,"hCoV-19/Belgium/ULG-3665/2020|EPI_ISL_417009|2020-03-07|Europe"
"67",203,198,0.1364476503,50.5119839143999,5.60984623053005,50.5058244097523,5.59642163857692,0.1368576503,0.000409999999999994,2020.57939934424,2020.71584699454,410000000,"hCoV-19/Belgium/ULG-10751/2020|EPI_ISL_641593|2020-09-19|Europe"
"68",203,204,0.00803000000000001,50.5119839143999,5.60984623053005,50.5136971498501,5.60715321564644,0.00844,0.000409999999999994,2020.57939934424,2020.58742934424,410000000,NA
"69",204,205,0.0278,50.5136971498501,5.60715321564644,50.4858942083706,5.61871080497625,0.03624,0.00844,2020.58742934424,2020.61522934424,410000000,NA
"70",205,200,0.002256994535,50.4858942083706,5.61871080497625,50.4944206536278,5.69686974801812,0.038496994535,0.03624,2020.61522934424,2020.61748633878,410000000,"hCoV-19/Belgium/ULG-10423/2020|EPI_ISL_581584|2020-08-14|Europe"
"73",251,252,0.0007598898608,50.5726344307352,5.60825825682909,50.5720243486478,5.60790297673256,0.0007598898608,0,2020.15731945442,2020.15807934428,410000000,NA
"74",252,253,0.10967,50.5720243486478,5.60790297673256,50.5704775025497,5.60332053106113,0.1104298898608,0.0007598898608,2020.15807934428,2020.26774934428,410000000,NA
"75",252,254,0.00696751472599999,50.5720243486478,5.60790297673256,50.5764715408349,5.60575415468097,0.00772740458679999,0.0007598898608,2020.15807934428,2020.16504685901,410000000,NA
"76",253,213,1.02185792300036e-05,50.5704775025497,5.60332053106113,50.6052704726046,5.87640592741011,0.11044010844003,0.1104298898608,2020.26774934428,2020.26775956286,410000000,"hCoV-19/Belgium/ULG-10139/2020|EPI_ISL_427384|2020-04-08|Europe"
"77",253,214,1.02185792300036e-05,50.5704775025497,5.60332053106113,50.5415411759317,5.47354167000121,0.11044010844003,0.1104298898608,2020.26774934428,2020.26775956286,410000000,"hCoV-19/Belgium/ULG-10138/2020|EPI_ISL_427383|2020-04-08"
"78",254,255,0.000172485273999989,50.5764715408349,5.60575415468097,50.5765497584201,5.60582372850591,0.00789988986079998,0.00772740458679999,2020.16504685901,2020.16521934428,410000000,NA
"80",255,215,0.00964404371600003,50.5765497584201,5.60582372850591,50.5229567891856,5.44995558577524,0.0175439335768,0.00789988986079998,2020.16521934428,2020.174863388,410000000,"hCoV-19/Belgium/ULG-3162/2020|EPI_ISL_417005|2020-03-05"
"81",255,216,0.09980797814,50.5765497584201,5.60582372850591,50.439282104667,5.76650277620237,0.1077078680008,0.00789988986079998,2020.16521934428,2020.26502732242,410000000,"hCoV-19/Belgium/ULG-10121/2020|EPI_ISL_427369|2020-04-07|Europe"
"83",256,262,0.00583,50.5765497584201,5.60582372850591,50.5757642159845,5.51413943331169,0.0137298898608,0.00789988986079998,2020.16521934428,2020.17104934428,410000000,NA
"84",257,261,0.00092027416599999,50.5790683200066,5.60334459746765,50.5786750031155,5.60315850706459,0.0429498898568,0.0420296156908,2020.19934907011,2020.20026934428,410000000,NA
"85",257,258,0.002820274166,50.5790683200066,5.60334459746765,50.5787921054144,5.60559551171302,0.0448498898568,0.0420296156908,2020.19934907011,2020.20216934428,410000000,NA
"86",258,259,0.01045,50.5787921054144,5.60559551171302,50.6005163943419,5.53914715258879,0.0552998898568,0.0448498898568,2020.20216934428,2020.21261934428,410000000,NA
"87",259,218,0.03328229508,50.6005163943419,5.53914715258879,50.6003809862097,5.53624698710925,0.0885821849368,0.0552998898568,2020.21261934428,2020.24590163936,410000000,"hCoV-19/Belgium/ULG-10041/2020|EPI_ISL_427347|2020-03-31|Europe"
"88",259,260,0.03327,50.6005163943419,5.53914715258879,50.6672528981306,5.96269339364493,0.0885698898568,0.0552998898568,2020.21261934428,2020.24588934428,410000000,NA
"89",260,220,1.22950819900214e-05,50.6672528981306,5.96269339364493,50.6672016390226,5.96268115285466,0.08858218493879,0.0885698898568,2020.24588934428,2020.24590163936,410000000,"hCoV-19/Belgium/ULG-10004/2020|EPI_ISL_421184|2020-03-31|Europe"
"95",263,264,0.00190000000000001,50.6321897811648,5.8325026256396,50.6321897811648,5.8325026256396,0.0175298898608,0.0156298898608,2020.17294934428,2020.17484934428,410000000,NA
