node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
44,42,0.06147877138,647857.305008406,747700.724280006,648119.692039043,747797.47230533,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,230800000,hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,Liège,Liège,4633,4633
44,45,0.02047456373,647857.305008406,747700.724280006,643543.466747328,764891.634236329,0.08378,0.06330543627,2020.13797478053,2020.15844934426,230800000,NA,Liège,Liège,4633,4837
45,47,0.0018,643543.466747328,764891.634236329,643707.551774637,764818.704120591,0.08558,0.08378,2020.15844934426,2020.16024934426,230800000,NA,Liège,Liège,4837,4837
47,48,0.0018,643707.551774637,764818.704120591,643707.551774637,764818.704120591,0.08738,0.08558,2020.16024934426,2020.16204934426,230800000,NA,Liège,Liège,4837,4837
48,49,0.00167,643707.551774637,764818.704120591,643738.715412783,764974.090678542,0.08905,0.08738,2020.16204934426,2020.16371934426,230800000,NA,Liège,Liège,4837,4837
48,51,0.01998,643707.551774637,764818.704120591,644245.344086367,766287.384506349,0.10736,0.08738,2020.16204934426,2020.18202934426,230800000,NA,Liège,Liège,4837,4837
49,10,0.000215081967299996,643738.715412783,764974.090678542,643479.314212621,766647.380294589,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,230800000,hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe,Liège,Liège,4837,4837
49,50,0.01114,643738.715412783,764974.090678542,646497.282757994,761900.658310833,0.10019,0.08905,2020.16371934426,2020.17485934426,230800000,NA,Liège,Liège,4837,4830
50,12,0.00273628415299998,646497.282757994,761900.658310833,651938.548833382,760821.899221626,0.102926284153,0.10019,2020.17485934426,2020.17759562841,230800000,hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe,Liège,Liège,4830,4841
50,11,4.04371579998397e-06,646497.282757994,761900.658310833,646493.909925834,761897.869017124,0.1001940437158,0.10019,2020.17485934426,2020.17486338798,230800000,hCoV-19/Belgium/SJ-030583/2020|EPI_ISL_420339|2020-03-05|Europe,Liège,Liège,4830,4830
51,52,0.01366,644245.344086367,766287.384506349,642422.068060643,756282.532485503,0.12102,0.10736,2020.18202934426,2020.19568934426,230800000,NA,Liège,Liège,4837,4800
51,62,0.00184999999999999,644245.344086367,766287.384506349,642418.167451513,756267.348848599,0.10921,0.10736,2020.18202934426,2020.18387934426,230800000,NA,Liège,Liège,4837,4800
52,53,0.03044,642422.068060643,756282.532485503,642390.163746989,756501.667614434,0.15146,0.12102,2020.19568934426,2020.22612934426,230800000,NA,Liège,Liège,4800,4800
52,54,0.00184999999999999,642422.068060643,756282.532485503,642418.167451513,756267.348848599,0.12287,0.12102,2020.19568934426,2020.19753934426,230800000,NA,Liège,Liège,4800,4800
53,14,0.01704005464,642390.163746989,756501.667614434,642112.665728738,755868.819934431,0.16850005464,0.15146,2020.22612934426,2020.2431693989,230800000,hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,Liège,Liège,4800,4802
53,13,0.01977229508,642390.163746989,756501.667614434,639980.801228331,731901.453843815,0.17123229508,0.15146,2020.22612934426,2020.24590163934,230800000,hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,Liège,Liège,4800,4100
54,56,0.00820000000000001,642418.167451513,756267.348848599,639639.885101079,748071.781473191,0.13107,0.12287,2020.19753934426,2020.20573934426,230800000,NA,Liège,Liège,4800,4870
56,17,0.00191092896200001,639639.885101079,748071.781473191,616309.819162005,784318.780073457,0.132980928962,0.13107,2020.20573934426,2020.20765027322,230800000,hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe,Liège,Liège,4870,4770
56,57,0.02205,639639.885101079,748071.781473191,645954.831901679,752728.836047029,0.15312,0.13107,2020.20573934426,2020.22778934426,230800000,NA,Liège,Liège,4870,4800
57,18,0.03177349727,645954.831901679,752728.836047029,629899.724958203,753687.389572072,0.18489349727,0.15312,2020.22778934426,2020.25956284153,230800000,hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe,Liège,Liège,4800,4900
57,58,0.00164592136399999,645954.831901679,752728.836047029,645910.387519707,752713.278579202,0.154765921364,0.15312,2020.22778934426,2020.22943526562,230800000,NA,Liège,Liège,4800,4800
58,59,0.0003540786357,645910.387519707,752713.278579202,645926.626819961,752809.823279374,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,230800000,NA,Liège,Liège,4800,4800
58,19,0.06837894202,645910.387519707,752713.278579202,646055.551655708,752851.900523507,0.223144863384,0.154765921364,2020.22943526562,2020.29781420764,230800000,hCoV-19/Belgium/ULG-10165/2020|EPI_ISL_447159|2020-04-19|Europe,Liège,Liège,4800,4800
59,20,0.03523797814,645926.626819961,752809.823279374,652017.218647944,739772.244642659,0.1903579781397,0.1551199999997,2020.22978934426,2020.2650273224,230800000,hCoV-19/Belgium/ULG-10132/2020|EPI_ISL_427377|2020-04-07|Europe,Liège,Liège,4800,4040
