"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID","tipLabel"
"1",44,42,0.06147877138,50.6169834634465,5.94760479446179,50.6354094838736,5.75125331216508,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,63600000,"hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe"
"2",44,45,0.02047456373,50.6169834634465,5.94760479446179,50.6169457639769,5.95227558071949,0.08378,0.06330543627,2020.13797478053,2020.15844934426,63600000,NA
"3",45,47,0.0018,50.6169457639769,5.95227558071949,50.6182176940528,5.94819860580426,0.08558,0.08378,2020.15844934426,2020.16024934426,63600000,NA
"4",47,48,0.0018,50.6182176940528,5.94819860580426,50.6182176940528,5.94819860580426,0.08738,0.08558,2020.16024934426,2020.16204934426,63600000,NA
"5",48,49,0.00167,50.6182176940528,5.94819860580426,50.6180648667355,5.94927995269508,0.08905,0.08738,2020.16204934426,2020.16371934426,63600000,NA
"6",48,51,0.01998,50.6182176940528,5.94819860580426,50.5992342213279,5.88510749626899,0.10736,0.08738,2020.16204934426,2020.18202934426,63600000,NA
"7",49,10,0.000215081967299996,50.6180648667355,5.94927995269508,50.5902216955547,6.0161845091987,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,63600000,"hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe"
"8",49,50,0.01114,50.6180648667355,5.94927995269508,50.618228610104,5.95002911913122,0.10019,0.08905,2020.16371934426,2020.17485934426,63600000,NA
"9",50,12,0.00273628415299998,50.618228610104,5.95002911913122,50.6673932149774,5.93647076034075,0.102926284153,0.10019,2020.17485934426,2020.17759562841,63600000,"hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe"
"11",51,52,0.01366,50.5992342213279,5.88510749626899,50.5979096005074,5.88251327125232,0.12102,0.10736,2020.18202934426,2020.19568934426,63600000,NA
"12",51,62,0.00184999999999999,50.5992342213279,5.88510749626899,50.6000406603087,5.87950761678392,0.10921,0.10736,2020.18202934426,2020.18387934426,63600000,NA
"16",53,13,0.01977229508,50.5791694042468,5.86245338207942,50.5647117655029,5.5247699897677,0.17123229508,0.15146,2020.22612934426,2020.24590163934,63600000,"hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe"
"17",54,56,0.00820000000000001,50.6000406603087,5.87950761678392,50.5993990819634,5.88022193333463,0.13107,0.12287,2020.19753934426,2020.20573934426,63600000,NA
"18",56,17,0.00191092896200001,50.5993990819634,5.88022193333463,50.3422272429212,6.25586614053313,0.132980928962,0.13107,2020.20573934426,2020.20765027322,63600000,"hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe"
"19",56,57,0.02205,50.5993990819634,5.88022193333463,50.6134644890483,5.83269800984341,0.15312,0.13107,2020.20573934426,2020.22778934426,63600000,NA
"20",57,18,0.03177349727,50.6134644890483,5.83269800984341,50.4706182945347,5.82939710560777,0.18489349727,0.15312,2020.22778934426,2020.25956284153,63600000,"hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe"
"24",59,20,0.03523797814,50.6137459401189,5.83346781288553,50.6717405100194,5.63877558126074,0.1903579781397,0.1551199999997,2020.22978934426,2020.2650273224,63600000,"hCoV-19/Belgium/ULG-10132/2020|EPI_ISL_427377|2020-04-07|Europe"
"25",59,60,0.00462000000000001,50.6137459401189,5.83346781288553,50.6140153447286,5.83925917823376,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,63600000,NA
"26",60,21,0.03061797814,50.6140153447286,5.83925917823376,50.6593441938255,5.53994488564647,0.1903579781397,0.1597399999997,2020.23440934426,2020.2650273224,63600000,"hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe"
"27",60,61,0.06302,50.6140153447286,5.83925917823376,50.5968425044049,5.85018550545639,0.2227599999997,0.1597399999997,2020.23440934426,2020.29742934426,63600000,NA
"28",61,23,0.0003848633878,50.5968425044049,5.85018550545639,50.5967738787782,5.85033239243096,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,63600000,"hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe"
"29",61,22,0.06049415301,50.5968425044049,5.85018550545639,50.5476518544976,5.76067797802347,0.2832541530097,0.2227599999997,2020.29742934426,2020.35792349727,63600000,"hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-05-11|Europe"
"31",64,66,0.02723322191,50.678822917417,5.83862703783986,50.6711453225008,5.8175951008063,0.14878322191,0.12155,2020.19621934426,2020.22345256617,63600000,NA
"33",66,77,0.000576778090700003,50.6711453225008,5.8175951008063,50.4606671334951,6.20564029125957,0.1493600000007,0.14878322191,2020.22345256617,2020.22402934426,63600000,NA
"34",67,28,0.06642382514,50.6717021044459,5.81433943776711,50.6147686442393,6.07091255499721,0.23407382514,0.16765,2020.24231934426,2020.3087431694,63600000,"hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe"
"36",69,70,0.00225,50.7202254688969,6.01844912667064,50.7119269005543,6.00336813896634,0.18214,0.17989,2020.25455934426,2020.25680934426,63600000,NA
"37",70,31,2.12568304900074e-05,50.7119269005543,6.00336813896634,50.7118980962637,6.00291927586791,0.18216125683049,0.18214,2020.25680934426,2020.25683060109,63600000,"hCoV-19/Belgium/ULG-10089/2020|EPI_ISL_424643|2020-04-04|Europe"
